Italian word,English translation
profumo,perfume / scent / I sweeten
coincidenza,connection / concurrence
portarmi,to bear / feel / nourish / to bring / fetch / take / carry / to have / bear
alcol,alcohol
ricevere,fits / saw / to see
inventato,invented / made up / fictitious
impegno,diligence / enthusiasm / engagement / commitment / endeavour
brutte,ugly (m.)
zucchero,sugar
chiedermi,to ask / to request
giudizio,judgment / wisdom / sense / trial / proceedings / judgment / verdict
spari,shot / silver bream / the sound of a shot
pochino,A small amount; a bit; a pinch
personaggio,character / character / fellow / guy / figure / personality / personage
lacrime,tear
esami,check / control / checking / examination / test / inspection / investigation
conoscevo,to know [a person or place] / experience / to recognise
crimini,crime
usi,custom / habit / use
scemo,stupid / silly / fool / idiot
reparto,department / unit / ward
usata,second-hand / used / worn / second-hand goods
pazzesco,crazy / insane / great / fantastic / terrific / fabulous
corda,chord / cord / rope / chord
benzina,gasoline / gas / petrol
dissi,I said (p.r.)
creatura,creature / a child
fumare,(to) fume / (to) steam / (to) give off fumes
pulita,A quick clean
raccontare,recount / tell / tells
ambiente,environment / room / sphere or circle
fidi,faithful / loyal
capite,to understand
canzoni,songs
quant',apocopic form of quanta / apocopic form of quanto
garage,garage / garages
spiegazione,explanation / elucidation / interpretation / reason / lesson
disposto,disposed (p.p. of disporre)
lascero,to leave / let
proviamo,to try on / to rehearse / to feel / experience
sara',will be
confine,border / frontier / boundary
propri,really / one's own
significato,importance / significance / value / meaning / sense
letteralmente,literally
oggetti,object
ione,ion
televisione,television
baseball,baseball
sociale,partnership / company / corporate / firm / social / societal
professor,professor
struttura,accommodation
accusato,accused / accused person / accused
prendero,to take
disgustoso,sick / disgusting / grossest
specchio,mirror
venerdi,Friday
butta,to shape / to turn / to beat in
perdonami,to forgive / pardon / to forgive / pardon / excuse
dosso,bump / rise
cambiamento,changed / change / turns
svegliato,to awaken / to stimulate
proprieta,property / law / property / characteristics
venisse,to come
reputazione,good name / reputation
partenza,blast-off / departure / leaving / starting / sailing
punizione,punishment
conviene,auxiliary avere; To agree / to admit / to grant
navi,ship
organizzare,hold / organizing / promoting
portiamo,to bear / feel / nourish / to bring / fetch / take / carry / to have / bear
uccelli,bird / willy [British] / peter [US] / dick
fico,great / cool / fig / cool guy
influenza,hold / (he/she/it) affects / flu
tedesco,German
dodici,twelve
nascita,birth
scambio,exchange / trade / trading / dealings / swap / bargain
distretto,district / precinct / area / zone / recruiting office
fiera,fair(ground) / exhibition / show
incontri,towards / arrangement / encounter / meeting
palestra,gymnasium / gym / gym's
direbbe,would say
inviato,correspondent / envoy / messenger / representative / agent
universita,university
angela,female given name / cognate to English Angela
illegale,illegal / unlawful / lawless / false
big,big shot / big noise / star
bruce,grub / caterpillar (f. pl.)
starà,will be
perde,to lose
piacevole,delicious / pleasant / nice
oceano,immensity / infinity / ocean
tagliare,to cut / breaks / broke
servire,(to) to serve / (to) serve / serve
chiederle,to ask / to request
cioccolato,chocolate
farli,to do / to make
seduti,bottom / butt / seat / buttocks / bum / to sit down / take a seat
preferita,feminine form of preferito
rovinare,to collapse / to fall / to hurtle down / to crash down / to tumble
decisioni,decision / decisiveness
previsto,expected / forecast / Something expected / forecast or supposed
talmente,so
urlare,To howl / To scream or yell / To squall
dolcezza,gentleness / mildness / smoothness
pubblica,public / audience / spectator
esserne,to be
documento,papers / documents / document
desidera,To wish / to want / to like / to desire / to long
um,um (interjection)
ricchi,rich (m.)
soffrire,to suffer / to be in pain / to stand / to bear / to put up with / to allow
labbra,lip / labium
controlli,check / control / verification / examination / inspection
stronzi,bastard / shit / son of a bitch / turd
mangi,you eat
superiori,greater / higher / larger
potrò,I will be able to / I will be allowed to / I will be likely
risorse,asset / resource
biblioteca,library
tornerò,to return
settore,area / sector
robot,bot / robot
canta,to sing
portano,to bear / feel / nourish / to bring / fetch / take / carry / to have / bear
veleno,poison
ufficialmente,officially / formally
diario,timetable / journal / diary
continuate,to carry on / to continue
proprietà,property / law / property / characteristics
uguali,equal (pl.)
spiega,to explain / elucidate / expound / show / account / understand
adulti,adult / grown-up / adult
aprite,to open
stiano,to stay / to be
salvo,except / saved
studi,she studies / studied / survey
offesa,An offended person / insult / offence
online,online
legato,awkward / stiff / close / attached / involved / linked / connected / tied
metterci,to take
incontrati,to play / fight
incarico,appointment / nomination / post / errand / thing to do / task / job / mandate
ricominciare,to begin again / start again / recommence / resume
troppa,too many / too / too much
inverno,winter / winter's
agio,ease / comfort / luxury / comfort
maglietta,t / T-shirts / shirt
facevano,baked / made / kept
orgoglioso,proud
impazzito,To go mad
recuperare,to make up [time / disadvantage]
organizzazione,organizing / arrangement / organization
frase,expression / sentence / phrase
emozioni,emotion / excitement
esplodere,to explode or blow up
civile,civil / civilian / civilized / polite
biscotti,biscuit / cookie
guadagnare,makes / (to) reach / made
attore,actor
vecchie,old (f. pl.)
aiutatemi,to help / assist
sigaretta,cigarette
grasso,productive / fertile / fatty
gradi,to accept something with pleasure / to want or desire
amava,to love
pago,contented / pay / fee / price
verrai,you will come away / you will come down / you will turn out
umore,mood
mondiale,world / worldwide / world’s
rapito,kidnapped / spellbound / enchanted / entranced / rapt / A kidnapped person
ragazzini,young boy / little boy / kid / teenager
avreste,you (pl.) would have
parlargli,to speak / talk
accada,Akkadian
levati,lever / those called-up / conscripts / call-up / conscription / draft
convincere,to convince / persuade / argue / satisfy
condividere,enter / let's
riso,rice
russo,Russian
consegna,confusion / mix up / delivery / handover / consignment
finiti,ends
relazioni,account / report / connection / relation
colpire,to affect / to hit / strike
legno,wood
doc,Denominazione di Origine Controllata
eventi,event
cercava,to look for / to try
ferro,strike / iron / (I) strike
dolci,dear / gentle / mild / luscious / sooth
abiti,dress / habit / suit
studente,student / learner
dottori,doctor / graduate / Mr / Doctor
aiutarlo,to help / assist
poveri,poor (m.)
divertendo,to amuse / to entertain
raggio,ray / beam / radius
scientifica,scientific
raggiunto,to attain / gain / achieve / to reach / arrive at / get to / touch
resistenza,resistance / resistor / stamina / endurance
partecipare,(to) share / join / go
disponibile,courteous / helpful / available
estremamente,extremely / in the extreme
aspettano,to wait for / await / wait
richiamo,allure / booster / call
agire,To proceed / To affect / To act out
cerimonia,ceremony / ceremonial occasion / states
fegato,courage / liver
stretto,thin / hugged / sharp
torre,tower / rook / castle
pessima,very bad / awful / foul / dreadful
imbarazzo,embarrassment / awkwardness / obstacle / trouble / difficulty
sfida,challenge
aiutando,to help / assist
fermata,fermata / stop during travel
prenderemo,to take
cole,to drip / to run / to cast (f. pl.)
indagini,hearing / investigation / inquiry / probe / enquiry / research / search
porno,pornographic / porn / pornography
professionale,vocational / occupational / professional
stop,stop! / halt! / stop
fredda,cold (f.)
adatto,suitable or adapted for
prime,first (f. pl.)
dille,tell her
strane,strange / odd / dodgy / whimsical
brillante,vivacious / lively / diamond
potevamo,we could
droghe,drug / spice
sieda,bottom / butt / seat / buttocks / bum / to sit down / take a seat
grida,cry / call / cry / cry / shout
orso,bears / bored / bear
darsi,to happen / chance / reflexive form of dare
istinto,instinct
vegas,Vegas
dubbi,doubtful / uncertain / dubious / questionable
lascerò,to leave / let
dì,day / daytime
eva,Eve [biblical character] / female given name
tornera,to return
chiacchiere,A type of dessert in the form of fritters dusted with sugar
figura,character / figure / illustration
scoprirlo,to discover / find out / to sight; to spot / to uncover
maledetta,damned / damn / cursed / blasted / horrible / awful (f.)
deserto,deserted / desert
golf,golf
mando,to drive / to send / forward / dispatch / transmit
ringraziamento,thanksgiving / thanks / thank-you
ricordati,to commemorate / to mention / record / to remember / recall / recollect
fantasmi,ghost / spectre / illusion
staro,I will be
blocco,bloc / coalition / blockade / block
considerato,esteemed / prudent / cautious / careful
dovrete,you'll have to / will have to
metro,criterion / metre / yardstick
inizi,beginning
splendida,splendid / brilliant / glorious / magnificent
gliene,about it/them to him/her/it/them / some to him/her/it/them
intanto,anyhow / but / in the meantime / meanwhile / while
dovuta,had to
diventi,to become / go / to grow
cio',that / this
cammina,walk / gait / walking / to proceed
prenderò,to take
alti,tall (m. pl.)
progetti,plan / project / design / scheme / lay out
zombie,zombie
grossi,Italian surname
ammazzo,to kill / murder
prodotto,produced / borne / generated
pensavamo,to think
fingere,To dissemble / To pretend or feign
prendilo,you take
succeda,to happen / to succeed
quadro,painting / painting's
circostanze,circumstance
lassù,up above / in heaven / up North / up there
benvenuta,welcome
presentato,to introduce / to present
aperti,open / opened
preside,dean / principal
crudele,cruel
becco,beak / bill / billygoat / burner
parleremo,to speak / talk
esseri,to be
delitto,crime / offence / felony / misdemeanour / murder / homicide / sin
febbre,cold sore / fever / temperature
rossi,Italian surname The most popular surname in Italy
sentirlo,to hear / feel
averci,to have
spinto,pushed (p.p. of spingere)
armadio,closet / wardrobe / armoir
battere,To beat / To prostitute
olio,oil / (I) oil
mutande,pants / underpants
professionista,professional / professional / pro / professional / pro
arriviamo,to come / to be placed / to arrive / to come / to reach
rinforzi,strengthening / stiffening / reinforcement
notti,nights
parlate,you (pl.) speak
capirlo,to understand
cina,China. Official name: Repubblica Popolare Cinese
aggressione,aggression / attack / assault / mugging
mangio,I eat
vetro,glass / pane / windowpane
falla,leak
sistemato,to accommodate / lodge / put up / fix up
racconti,story / tale / short story / account
stupendo,wonderful / stunning / marvelous
elicottero,helicopter
consigli,advice / council
mistero,mystery / enigma / secret / puzzle
cadaveri,corpse / body
nastro,ribbon / tape
gigante,huge / giant / gigantic / colossal / giant
datemi,you (pl.) give / date
negativo,negative / negative
